"","Team","T.YD","Pass.YD","Rush.YD","T.FD","Rush.FD","Pass.FD","Pen.FD","Pass.ATT","Pass.COMP","Pass.PCT","Pass.YPA","Pass.Lng","Pass.TD","Pass.INT","PASS.SACK","Rush.ATT","Rush.YPA","Rush.Lng","Rush.TD","Rush.FUM","Rec","Rec.YD","Rec.AVG","Rec.Lng","Rec.TD","Rec.FUM","pct","Season"
"28","Arizona",4563,2740,1823,"274","94","148","32",548,291,53.1,5.5,80,18,22,41,414,4.4,58,10,14,291,3038,10.4,80,18,1,".313",2002
"29","Detroit",4471,2994,1477,"242","69","150","23",577,277,48,5.5,64,19,25,20,358,4.1,56,9,5,277,3168,11.4,64,19,1,".188",2002
"30","Chicago",4395,3051,1344,"260","79","156","25",543,310,57.1,6.1,76,22,18,44,382,3.5,34,8,12,310,3316,10.7,76,22,2,".250",2002
"31","Dallas",4375,2621,1754,"237","87","129","21",471,252,53.5,6.4,80,14,16,54,423,4.1,46,7,6,252,3020,12,80,14,5,".313",2002
"32","Carolina",4280,2694,1586,"238","82","133","23",464,255,55,6.4,69,15,22,44,452,3.5,59,11,9,255,2981,11.7,69,15,3,".438",2002
"33","Houston",3572,2225,1347,"208","59","119","30",447,235,52.6,5.9,81,11,15,76,424,3.2,37,6,17,235,2636,11.2,81,11,1,".250",2002
"34","Minnesota",6294,3951,2343,"336","124","194","18",520,333,64,8,72,32,13,42,493,4.8,61,15,15,333,4169,12.5,72,32,3,".563",2003
"35","Kansas City",5910,3981,1929,"348","120","201","27",536,339,63.2,7.7,67,24,12,21,446,4.3,39,32,2,339,4113,12.1,67,24,2,".813",2003
"36","Indianapolis",5874,4179,1695,"348","104","212","32",569,381,67,7.5,79,29,10,19,453,3.7,43,16,11,381,4289,11.3,79,29,5,".750",2003
"37","Green Bay",5798,3240,2558,"315","127","166","22",473,310,65.5,7.1,66,32,21,19,507,5,98,18,12,310,3377,10.9,66,32,1,".625",2003
"38","San Francisco",5687,3408,2279,"313","118","172","23",511,299,58.5,7,75,25,15,28,499,4.6,78,16,12,299,3566,11.9,75,25,3,".438",2003
"39","Seattle",5627,3618,2009,"338","121","190","27",521,317,60.8,7.4,80,27,16,43,453,4.4,55,17,9,317,3872,12.2,80,27,3,".625",2003
"40","Denver",5598,2969,2629,"334","133","162","39",479,280,58.5,6.5,72,19,18,25,543,4.8,65,20,10,280,3126,11.2,72,19,0,".625",2003
"41","Tennessee",5501,3878,1623,"310","84","211","15",502,315,62.7,8,73,30,9,25,486,3.3,28,11,8,315,4031,12.8,73,30,3,".750",2003
"42","Los Angeles",5457,3961,1496,"335","97","211","27",600,377,62.8,7.1,48,23,23,43,411,3.6,52,19,5,377,4287,11.4,48,23,4,".750",2003
"43","Tampa Bay",5453,3805,1648,"307","86","190","31",592,369,62.3,6.7,76,27,22,23,421,3.9,61,5,6,369,3941,10.7,76,27,7,".438",2003
"44","New Orleans",5438,3438,2000,"302","100","177","25",535,314,58.7,6.8,76,25,8,36,448,4.5,76,11,12,314,3641,11.6,76,25,5,".500",2003
"45","Jacksonville",5358,3285,2073,"305","118","163","24",515,303,58.8,6.6,84,17,17,28,481,4.3,62,13,8,303,3421,11.3,84,17,4,".313",2003
"46","Cincinnati",5329,3342,1987,"313","101","181","31",520,324,62.3,6.9,82,26,15,37,481,4.1,54,12,2,324,3591,11.1,82,26,2,".500",2003
"47","San Diego",5167,3021,2146,"290","117","146","27",525,297,56.6,6.1,73,21,19,29,417,5.1,73,16,9,297,3226,10.9,73,21,3,".250",2003
"48","Dallas",5161,3162,1999,"286","115","149","22",510,294,57.6,6.6,64,17,21,37,515,3.9,63,11,8,294,3347,11.4,64,17,3,".625",2003
"49","Carolina",5141,3050,2091,"284","114","146","24",460,270,58.7,7,67,19,16,26,522,4,40,9,11,270,3238,12,67,19,7,".688",2003
"50","New England",5039,3432,1607,"294","91","177","26",537,320,59.6,6.8,82,23,13,32,473,3.4,42,9,7,320,3651,11.4,82,23,3,".875",2003
"51","Philadelphia",5035,3020,2015,"302","105","156","41",484,279,57.6,6.8,59,17,11,43,417,4.8,64,23,8,279,3273,11.7,59,17,3,".750",2003
"52","NY Jets",4951,3316,1635,"274","78","181","15",496,312,62.9,7.1,65,20,14,31,409,4,56,8,6,312,3524,11.3,65,20,3,".375",2003
"53","NY Giants",4942,3383,1559,"300","90","184","26",616,344,55.8,5.9,77,16,20,44,387,4,27,6,9,344,3642,10.6,77,16,6,".250",2003
"54","Baltimore",4929,2255,2674,"259","115","121","23",415,217,52.3,6.1,73,16,19,42,552,4.8,82,18,21,217,2517,11.6,73,16,1,".625",2003
"55","Pittsburgh",4792,3304,1488,"275","77","174","24",532,306,57.5,6.7,81,19,17,42,446,3.3,32,10,8,306,3548,11.6,81,19,3,".375",2003
"56","Washington",4659,3006,1653,"272","95","156","21",527,283,53.7,6.2,64,21,16,43,421,3.9,38,8,7,283,3273,11.6,64,21,4,".313",2003
"57","Miami",4609,2792,1817,"266","99","145","22",450,257,57.1,6.7,80,17,19,31,487,3.7,68,14,6,257,3001,11.7,80,17,6,".625",2003
